;BAIRRO;lat;lon
128;B VERMELHO;-22,840763;-43,0783994
129;B VISTA;-22,8134189;-43,0626713
130;COLUBANE;-22,8380031;-43,0145858
131;JARDIM BOM RETIRO;-22,7967273;-42,9605491
132;P VELHO;-22,8384884;-43,0901504
133;B VEMELHO;-22,840763;-43,0783994
134;NI;-22,8272883;-43,0637646
135;CALUBANDE;-22,8380031;-43,0145858
136;JD INDEPENDENCIA;-22,8493762;-42,9973974
137;APOLO 3;-22,7834425;-42,9438267
138;JARDIM MIRIAMBI;-22,8249881;-42,991583
